lat,lon,status,host
-26.13780825,28.03451668,Present,Platanus x acerifolia
-26.13766497,28.03447469,Present,Platanus x acerifolia
-26.13686286,28.03473143,Present,Unknown
-26.13670042,28.03473679,Present,Platanus x acerifolia
-26.13663852,28.03465113,Present,Platanus x acerifolia
-26.13652771,28.03478993,Present,Platanus x acerifolia
-26.13642767,28.03467787,Present,Platanus x acerifolia
-26.13636648,28.03471408,Present,Platanus x acerifolia
-26.13625199,28.03472347,Present,Platanus x acerifolia
-26.1362519,28.03483327,Present,Platanus x acerifolia
-26.13617307,28.03487945,Present,Platanus x acerifolia
-26.13606863,28.03491424,Present,Platanus x acerifolia
-26.1360289,28.0349155,Present,Platanus x acerifolia
-26.13593549,28.03493259,Present,Platanus x acerifolia
-26.13582748,28.03492899,Present,Platanus x acerifolia
-26.1356867,27.8862677,Present,Combretum erythrophyllum
-26.1355267,28.0350339,Present,Platanus x acerifolia
-26.13545889,28.03494274,Present,Platanus x acerifolia
-26.13535495,28.03506671,Present,Platanus x acerifolia
-26.1347383,28.03510551,Present,Platanus x acerifolia
-26.13423027,28.03527215,Present,Platanus x acerifolia
-26.13413627,28.03540483,Present,Platanus x acerifolia
-26.13412328,28.03522554,Present,Platanus x acerifolia
-26.13406205,28.03523652,Present,Platanus x acerifolia
-26.13404822,28.03540994,Present,Platanus x acerifolia
-26.13395836,28.03542905,Present,Platanus x acerifolia
-26.13387911,28.03545361,Present,Platanus x acerifolia
-26.13374081,28.03546526,Present,Platanus x acerifolia
-26.12866174,28.02351746,Present,Acer buergerianum
-26.126011,28.021336,Present,Unknown
-26.10668329,28.02911464,Present,Harpephyllum caffrum
-26.10593973,28.02495637,Present,Platanus x acerifolia
-26.10593973,28.02495637,Present,Vachellia sieberiana var. woodii 
-26.1057115,28.02476686,Present,Betula pendula
-26.1057115,28.02476686,Present,Morus
-26.1057115,28.02476686,Present,Acer buergerianum
-26.105021,28.030278,Present,Unknown
-26.1049046,28.02525154,Present,Ceiba pentandra
-26.10383003,28.02507117,Present,Combretum kraussi
-26.10383003,28.02507117,Present,Vachellia sieberiana var. woodii
-26.10383003,28.02507117,Present,Schotia brachypetala
-26.10372806,28.03296832,Present,Ulmus parvifolia
-26.10372806,28.03296832,Present,Combretum erythrophyllum
-26.1027928,28.0272795,Present,Calodendrum capense
-26.10243507,28.02438587,Present,Acer buergerianum
-26.1024118,28.02792813,Present,Fraxinus excelsior
-26.10215293,28.02751753,Present,Quercus rugosa
-26.10215293,28.02751753,Present,Prunus nigra
-26.10113,28.027624,Present,Vachellia sieberiana var. woodii
-26.10113,28.027624,Present,Combretum erythrophyllum
-26.096622,28.028357,Present,Olea europea subsp. africana
-26.09043198,26.09043198,Present,Cordia caffra
-26.09043197,27.842544,Present,Unknown
-26.07684218,28.04317206,Present,Persea americana
-26.03844,27.89506333,Present,Platanus x acerifolia
-25.980833,28.158373,Present,Unknown
-25.94577863,27.9350399,Present,Acer negundo
-25.931484,27.942296,Present,Unknown
-25.87787912,28.30096602,Present,Quercus sp.
-25.79516731,28.29733592,Present,Acer buergerianum
-25.79506394,28.29748273,Present,Acer buergerianum
-25.79501875,28.29741915,Present,Acer buergerianum
-25.79492876,28.29385103,Present,Acer sp.
-25.79378388,28.29338409,Present,Liquidambar styraciflua
-25.7937613,28.2936016,Present,Liquidambar styraciflua
-25.79316667,28.29262167,Present,Unknown
-25.79262304,28.29276894,Present,Acer buergerianum
-25.7914914,28.2958403,Present,Acer buergerianum
-25.7914099,28.2905908,Present,Acer buergerianum
-25.7913884,28.2954035,Present,Acer buergerianum
